PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,PF10,PF11,PF12,PF13,PF14,PF15,PF16,PF17,PF18,PF19,PF20,PF21,PF22,PF23,PF24,PF25,PF26,PF27,PF28,PF29,PF30,PF31,PF32,PF33,PF34,PF35,PF36,PF37,PF38,PF39,PF40,PF41,PF42,PF43,Cluster,Label
-11.79948595,-15.06594942,-2.570497813,-4.061668326,-3.104926941,6.391682667,-2.408325323,2.95734641,-1.640214739,-2.05920154,-1.243921101,0.108495715,1.56982818,-2.178571583,0.534729456,-3.681127224,-2.48243278,2.255965659,-0.632479916,0.767522095,-2.86638335,-0.130878073,-1.150146515,-0.433466052,-0.564518958,1.122075788,2.980903455,-1.258430954,-1.684181083,-1.78644745,-0.192033678,0.137518727,0.654347741,-1.081820518,-1.730534333,-0.453798866,0.27385745,-1.256733075,-1.864741986,0.035810896,1.909672935,-0.819092635,2.964554197,3,0
-11.67963627,-12.41828476,-1.428155144,-4.927375186,-5.498556227,7.972432509,2.733856899,5.418984255,-1.893613236,-0.739732004,2.019203313,2.883974814,3.049391855,1.423213063,0.239070851,-0.815649827,-6.845654152,4.044555817,-1.157526894,1.281392106,-0.209415359,5.980401213,-0.439518018,-1.686969998,0.608434969,-1.152590029,1.129007215,-0.745948724,0.713367304,-1.003447121,-1.045019063,-0.521934232,0.682538311,-0.299497958,-0.18165807,-0.095991635,0.859298612,0.108088959,-0.412625951,-0.45518455,-0.071368637,-1.233787872,1.43591123,3,0
-11.56673179,-13.70885049,-1.198128318,-5.876235718,-2.913922538,3.711683158,-4.899246648,4.72549002,-0.992563091,0.793412061,3.66703525,1.901039592,-1.779321073,1.215953599,4.163130488,-0.909746112,-2.110337517,5.576604952,0.387501944,-1.718164431,-2.522838847,1.488394413,1.530323821,-1.87083046,-0.809912885,-0.929979541,0.718296065,-0.351614904,-1.022930302,-0.403013288,-1.516546693,-0.122194586,-1.108441078,0.152529455,0.092057698,1.528713797,1.615687243,0.671036903,0.586486622,1.902483647,-0.324915918,-0.244435955,-0.099988684,3,0
-10.84880923,-13.22145346,-2.861553651,-3.851140591,-3.577181279,4.637712153,-2.605921992,4.038380079,-5.348320373,-0.549252471,-0.975791119,0.051210359,1.760844016,-0.955354445,0.234239768,-1.487402528,-2.444993541,-2.530503131,-2.101557407,3.547744297,-0.281022471,-0.652478416,1.796026068,1.772597039,0.865630995,-0.73307069,0.567393495,0.300638258,1.318604717,1.859586928,-0.599548182,-1.018072488,0.348605147,2.060748296,0.612092073,-1.114486994,0.247309238,-0.155617269,0.481249873,-0.525174694,-0.498874632,-1.604226982,0.022879174,3,0
-8.33246864,-14.93577486,-2.081228073,-6.742655861,-1.614955133,4.978663043,-2.025073771,2.059644646,-0.797388541,6.485383268,3.298605687,-2.348765377,0.335585728,0.578924808,2.033696069,-1.941856392,-0.21455749,2.636196905,-1.27184075,-0.528988973,-0.280700423,0.472988193,0.717058124,-0.286419913,-2.037038857,0.06280997,2.094882508,0.895321988,1.258786282,-0.392959993,0.163729234,1.524740309,-2.087694507,-0.941380513,1.740392243,1.073500366,1.462152819,0.504937893,-0.30927089,-0.914167851,0.510557681,0.250425863,0.50829401,3,0
-10.85348039,-13.01287789,-2.67245565,-3.459627346,-1.399239396,4.266577955,-2.995196949,3.613441522,-4.106688879,0.700527699,-1.038877216,1.11228886,1.49644632,0.686908919,0.375785267,-1.053523864,-3.666405068,-2.378687397,-3.924062991,0.045491447,-0.180249562,1.056605902,1.079176772,-0.570191249,0.4123955,-0.056456792,-1.425399244,-0.156184858,-0.901728553,0.436021594,2.111602549,-2.222594886,2.314459888,0.786348161,-0.136928674,-0.50622932,-0.730847185,-1.583258975,-1.282763502,-0.106959653,0.519831583,-1.325115246,1.35607411,3,0
-11.76604202,-14.94373107,-1.191619613,-2.997282483,-3.53129375,5.853341306,-5.988549015,2.423605079,0.291084633,1.560937365,-0.717997786,4.978828714,3.63366789,1.081106901,1.225805966,0.890525588,-3.188731281,-0.501601709,3.830415204,3.279963677,-3.418278793,0.489414787,0.034760366,2.048846969,1.5167378,-1.220115046,3.307666282,0.193746922,0.456021923,-0.627763933,-0.274969266,0.888277305,0.409839977,0.860490013,0.937921275,1.546546468,-0.626235006,0.626445531,-1.598262211,3.02266814,0.36928831,1.723161635,-1.568124841,3,0
-9.705973589,-12.6565106,-3.709736216,0.559093844,0.642613709,2.783912733,-8.299984203,5.670398576,0.636427208,-1.809990885,-3.380471577,4.44877351,1.195906853,-1.308218401,3.105905785,-1.578998996,-1.884318305,2.45848282,0.837105625,-4.587917679,0.116100849,2.620894944,1.328081597,-0.372052677,-1.493252364,0.497160482,0.260680667,-0.460870454,-2.427631974,-1.129106118,0.427454384,0.248207294,-0.048213805,1.661440094,-0.903695456,0.456388154,1.813648104,-0.062394265,1.083797,-1.464217947,-1.683785615,0.06959938,-0.258073345,3,0
-12.22020109,-14.29301281,-3.107209202,-4.510841779,-1.621976903,6.984138894,-1.735141623,1.873102706,0.396140603,2.767344516,1.335706628,-1.802613886,-1.043093293,-0.755010317,-0.404491894,-1.674205279,-4.072816054,2.698986675,0.293913065,-0.60857486,-0.942700269,-0.284168677,-1.26296978,-3.416510653,-0.428625282,1.753377128,3.324948004,1.834710375,-0.529225847,-3.244483974,0.466141336,0.095613189,0.739010658,-1.740409695,-1.387326156,1.213520918,0.575945509,-1.384280317,-0.923175108,1.087400686,0.546061837,-0.835104567,0.663896887,3,0
-10.31721075,-15.17887098,-2.193177297,-3.555983613,-4.04870283,7.489365778,2.527747773,3.647246152,-2.670509391,5.110982061,2.914954738,0.519598724,1.988380372,3.660680212,1.301460111,-1.683393947,-4.813344848,1.080483446,4.617076074,2.064184328,-0.441401798,4.827465779,-0.058969465,0.208260137,1.438013129,1.140470304,-0.465104799,2.489355633,-0.095246561,2.115090736,0.106843733,0.542851551,-0.058565562,0.053228273,1.898411466,0.462266124,1.102235929,-0.009503148,1.602772868,-0.192954911,-0.770939734,-0.908783951,0.32099233,3,0
-10.36789533,-13.29722945,0.666960543,-2.606886428,-4.521653625,1.807303361,-7.696982146,4.633011706,-0.740426652,-1.524860485,-3.527054518,0.95568282,-4.436062657,-3.302118465,1.689274126,0.70360818,-2.06912149,1.588940231,-1.396888255,-4.173482973,0.488613274,-0.17281471,1.655292117,-0.779552925,-0.526371248,0.642158286,-1.979708127,0.274702841,0.523693198,0.192041143,0.916302745,-2.096232757,-1.938764498,1.337057002,0.057263088,-0.124428183,-1.099461061,1.066259755,1.714193743,0.86120544,-2.585454079,-1.13566168,-1.182090256,3,0
-11.38132343,-12.53532351,-2.394732131,-2.035965828,-2.569447772,0.594823004,-6.701519826,5.863678314,-2.737413731,-2.62154508,-3.611269114,-2.721408313,-0.166024861,-2.171925613,0.524554607,-0.46056052,-2.162667502,0.552035087,-5.23700965,-2.714538867,0.426713109,-0.322607188,0.300815844,-0.932619752,0.68805151,0.089005394,1.007383666,-1.1809362,-0.051511283,-0.953776602,0.856059756,0.296967752,-0.944162024,-0.902063782,-0.794790996,1.660394672,1.600869849,0.369729353,0.5052469,0.476661442,1.341918943,-0.423094736,0.024168008,3,0
-8.153021389,-12.40186013,-2.77391956,-5.187710628,-3.221797885,1.719844628,-3.745598477,5.707169244,-4.907176751,-1.46099626,-3.194458207,-3.212743345,-1.035144949,-1.912749721,0.085252479,-0.662772168,-1.596709023,-0.069980337,-5.882669199,-0.359074295,1.689618739,-0.1518895,0.069506806,-1.80571236,0.206052043,-1.449023884,0.823615636,-0.119729224,0.836930236,0.034052967,0.700923557,-0.513149171,0.727181759,-1.581921564,-1.660834348,0.379017393,0.985568746,0.539519226,0.815958526,1.142794421,-0.285132433,-0.970192078,-0.413789517,3,0
-10.27132561,-2.602976815,2.855666777,3.463874789,-3.075509462,-7.290352696,-5.926090452,7.799346086,-4.919539989,-1.721291331,-3.695147258,-1.182787685,0.900374897,-0.556861194,-0.648454318,4.582797506,-0.275836433,3.664930656,-4.894148927,-0.572170161,3.798743273,-0.244199946,-0.807326022,1.700033587,-0.417310711,-0.765413609,-0.014632208,1.931975292,-0.74585214,0.161867533,2.088358363,-3.937096307,-2.59289962,-0.565060891,-0.157181902,1.179462615,1.66919631,-0.60358808,2.633201673,1.295597121,-0.256176225,-1.077782845,-1.173217609,3,0
-7.453017362,-5.123505458,-1.981411437,-7.820979213,-3.526176971,7.596393123,6.735628413,5.377587767,-2.758238992,-7.45715407,1.439254503,-3.827523268,5.602556622,-0.589997153,0.31266193,-3.612435756,-2.874177553,1.792499431,0.549771113,-3.479488168,1.106278155,3.673151378,-3.091846071,-1.323816727,-2.31655922,0.364607581,0.686152242,-1.448857069,-0.225939813,1.228178277,0.96046384,1.278655608,2.128905094,0.359502386,0.596080098,-1.435872192,1.302373157,0.143391331,1.296140921,-0.624448239,1.654713307,-0.929170952,-0.526525436,3,0
-10.47893388,-13.52131577,-3.147398094,-3.961700785,-3.535818462,5.488324322,2.234904817,2.137624383,-2.282431684,3.650209531,0.1147009,-1.333585278,-1.97546021,1.542840376,-0.067486632,-0.082829513,-2.930633156,0.558230569,0.66097593,0.186063512,0.444708109,2.04556842,1.183256926,-0.110989448,-1.283208417,-0.526243159,-1.976168795,0.054163019,1.010061374,0.30560412,1.283375653,-0.37974238,0.381465307,-1.01886793,-1.812130632,0.120811173,-0.006610714,-0.266660993,0.348340801,-0.626387745,-3.025696847,-1.827921705,0.647289754,3,0
